,Unnamed: 0,course name,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
1402,1402,Web Scraping : scraper n'importe quel site web avec Node js,8,1,1,12.2021,5,1,0,319.9,1,5,9,1.6833333333333333,Henok Adeyama,8.0,1,3.0,0,0.0,0.0,0.0,0,0,0,3.0
1403,1403,Redes Neurais em termos simples (pensamento computacional),10,1,3,11.2022,2,1,0,69.9,1,3,9,1.15,Jorge Guerra Pires,2067.0,10,4.2,1,621.0,3.0,3.7,0,0,0,5.0
1404,1404,Introduction à Nerf (Neural Radiance Fields),5,2,1,12.2022,5,1,0,349.9,1,10,57,10.033333333333333,Maxime Vandegar,1235.0,25,4.5,0,0.0,0.0,0.0,0,0,0,4.2
1405,1405,DeepLearning mit PyTorch und fastai für tabellarische Daten,33,1,1,5.2021,9,1,1,123.9,1,6,38,2.716666666666667,Bernhard Mayr,477.0,10,4.0,0,0.0,0.0,0.0,1,0,0,1.5
1406,1406,Fundamentos de Data Scientist con R,202,1,1,2.2022,3,1,1,69.9,1,5,5,1.1833333333333333,Luis Guevara Matias,19523.0,427,3.4,0,0.0,0.0,0.0,0,0,0,5.0
1407,1407,Transformer Modelle und Deep Learning,15,1,1,9.2021,9,1,0,69.9,1,7,14,1.95,Bernhard Mayr,477.0,10,4.0,0,0.0,0.0,0.0,0,0,0,3.0
1408,1408,Основы работы с данными для бизнес лидеров,1,1,1,11.2022,8,1,0,699.9,0,1,18,6.983333333333333,DELA Digital Era Leaders Academy,12.0,2,4.3,0,0.0,0.0,0.0,0,0,0,5.0
1409,1409,Bigdata con Elasticsearch,1115,2,1,10.2022,3,1,1,69.9,1,5,5,0.7333333333333333,Luis Guevara Matias,19523.0,427,3.4,0,0.0,0.0,0.0,0,0,0,3.2
1410,1410,ViT（Vision Transformer）原理与代码精讲,4,1,1,5.2022,7,2,0,105.9,1,3,11,2.9833333333333334,Frank BAI,178.0,23,4.3,0,0.0,0.0,0.0,0,0,0,5.0
1411,1411,Swin Transformer实战目标检测：训练自己的数据集,6,1,1,1.2022,7,2,0,105.9,1,5,20,4.083333333333333,Frank BAI,178.0,23,4.3,0,0.0,0.0,0.0,0,0,0,5.0
1412,1412,Automatyzacja zadań w Pythonie,65,1,1,4.2021,16,1,0,349.9,1,6,43,6.033333333333333,Videopoint Grupa Helion,26837.0,87,4.3,0,0.0,0.0,0.0,0,0,0,4.0
1413,1413,YOLOv5目标检测之知识蒸馏实战,7,1,1,5.2022,7,2,0,105.9,1,4,12,1.6333333333333333,Frank BAI,178.0,23,4.3,0,0.0,0.0,0.0,0,0,0,5.0
1414,1414,Internet of Things (IoT),39,1,1,9.2022,3,1,1,69.9,1,6,6,0.6,Luis Guevara Matias,19523.0,427,3.4,0,0.0,0.0,0.0,0,0,0,5.0
1415,1415,Big Data con Spark,1228,1,1,10.2022,3,1,1,69.9,1,5,5,0.6166666666666667,Luis Guevara Matias,19523.0,427,3.4,0,0.0,0.0,0.0,0,0,0,3.5
1416,1416,Машинное обучение: кластеризация и аномалии на Python,43,1,1,1.2022,8,1,0,349.9,1,9,67,7.933333333333334,Центр digital-профессий ITtensive,2264.0,22,4.0,0,0.0,0.0,0.0,1,0,0,5.0
1417,1417,"Python Course With Numpy, Pandas , Matplotlib (hindi)",1000,1,1,12.2022,14,1,0,89.9,1,2,14,7.45,shivendra chauhan,2076.0,4,4.5,0,0.0,0.0,0.0,0,0,0,5.0
1418,1418,Machine Learning dengan Python,3,1,1,7.2022,11,1,0,69.9,1,11,54,9.0,Herman Sihombing,3.0,2,4.5,0,0.0,0.0,0.0,0,0,0,4.5
1419,1419,Apprendre l'analyse et la visualisation de données en Python,7,1,1,12.2022,5,1,0,539.9,1,8,107,16.783333333333335,Dr. Mohammed MASTAFI,3973.0,9,4.4,0,0.0,0.0,0.0,0,0,0,5.0
1420,1420,Machine Learning : introduction aux Auto-encodeurs,13,1,1,3.2022,5,1,0,69.9,1,3,12,2.1333333333333333,Maxime Vandegar,1235.0,25,4.5,0,0.0,0.0,0.0,0,0,0,5.0
1421,1421,APPRENTISSAGE DES STATISTIQUES AVEC JAMOVI [Français],3,1,1,8.2022,5,1,0,89.9,1,6,15,0.7333333333333333,Yassine Karroumi,3.0,1,5.0,0,0.0,0.0,0.0,1,0,0,5.0
1422,1422,تعلم خوارزميات الذكاء الاصطناعى وتنبؤ البيانات بالويكا,7,1,1,1.2021,12,1,0,89.9,1,4,14,2.7333333333333334,Ahmed Abdullah,7.0,1,3.0,0,0.0,0.0,0.0,0,0,0,3.0
1423,1423,Data science pour le E-Business et le E-Marketing | 2023,17,1,2,1.2023,5,1,0,69.9,1,6,74,7.566666666666666,E-Learning Innovation | Formateur certifié (France),6419.0,26,4.4,1,130.0,11.0,4.2,1,0,0,5.0
1424,1424,Fundamentos de Big Data,325,1,1,4.2022,3,1,1,69.9,1,5,5,1.4833333333333334,Luis Guevara Matias,19523.0,427,3.4,0,0.0,0.0,0.0,0,0,0,3.5
1425,1425,Machine Learning: cours avancé,6,2,1,11.2022,5,1,0,349.9,1,6,29,5.066666666666666,Maxime Vandegar,1235.0,25,4.5,0,0.0,0.0,0.0,0,0,0,4.2
1426,1426,Big data y analítica Digital,1116,2,1,8.2022,3,1,1,69.9,1,5,5,0.85,Luis Guevara Matias,19523.0,427,3.4,0,0.0,0.0,0.0,0,0,0,3.3
