,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
63,『ハンズオン』 ChatGPT入門～始め方・料金体系・Googleドキュメント等とのAPI連携を解説～,https://www.udemy.com/course/chatgptgoogleapi/,430,23,1,null,Japanese,1,1,0,0,7,16,55m total,おおたに ootani,"3,615",9,4.6,null,null,null,null,0,0,0,4.3
64,Görüntü İşleme (OpenCV) Giriş Eğitimi,https://www.udemy.com/course/goruntu-isleme-opencv-giris-egitimi/,"1,441",7,1,null,Turkish,1,0,0,0,3,11,44m total,Yılmaz Alaca,"9,474",16,4.6,null,null,null,null,0,0,0,4.7
65,Learn Python along with EDA for Indian beginners,https://www.udemy.com/course/eda-with-python/,409,7,1,null,Hindi,1,0,0,0,7,11,1h 16m,Kushal Sharma,"7,729",3,4.2,null,null,null,null,0,0,0,4.5
66,AutoViMLによる分類モデル/回帰モデル作成講座:【AutoML/Python/SIGNATE】,https://www.udemy.com/course/autoviml-rc-learningpythonsignate/,112,6,1,null,Japanese,1,10,0,0,7,18,1h 8m,Hiroyuki IKEDA,499,6,4.3,null,null,null,null,0,0,0,4.7
67,TPOTによる回帰モデル作成講座 : 【AutoML/Python/Kaggle/SIGNATE】②,https://www.udemy.com/course/automated-machine-learning-tpot-pythonkagglesignate2/,140,5,1,null,Japanese,1,10,0,0,7,22,1h 33m,Hiroyuki IKEDA,499,6,4.3,null,null,null,null,0,0,0,4.2
68,ディープラーニング実践 -実データに対してスマートなAIを作り上げよう-,https://www.udemy.com/course/deeplearning-practice-dogcat/,183,5,1,null,Japanese,1,1,0,0,1,11,1h 29m,のっくん (アプリ開発者),"2,871",18,4.3,null,null,null,null,0,0,0,3.9
69,Pengenalan Visualisasi Data untuk Pemula,https://www.udemy.com/course/pengenalan-visualisasi-data-untuk-pemula/,209,4,3,null,Indonesian,1,0,0,0,1,13,1h 14m,Taman Belajar,"5,915",70,4.6,Wahyu Fadli Satrya,209,1,3.9,1,0,0,3.9
70,[생활코딩]  머신러닝(Machine learning) 입문,https://www.udemy.com/course/machine-learning-j/,132,4,1,null,Korean,1,0,0,0,6,24,1h 44m,생활 코딩,935,73,4.8,null,null,null,null,0,0,0,4.4
71,【無料】RStudio Cloudをはじめよう,https://www.udemy.com/course/lets_start_rstudio-cloud/,138,4,1,null,Japanese,1,1,0,0,5,5,30m total,ケンタ タナカ,138,1,4.1,null,null,null,null,0,0,0,4.1
72,EDA for Neurons,https://www.udemy.com/course/eda-for-neurons/,620,4,1,null,Hindi,1,0,0,0,4,5,1h 20m,Shivprasad Suryawanshi,620,2,4.8,null,null,null,null,0,0,0,4.8
73,실전예제로 더하는 파이썬/판다스 플러스 알파,https://www.udemy.com/course/evryomas/,88,3,1,null,Korean,1,0,0,0,4,18,36m total,사무직 직장인,314,6,4.5,null,null,null,null,1,0,0,4.6
74,"[Python] 시계열 분석 이론 , 파이썬 실습 1시간 완성 강의",https://www.udemy.com/course/1-robosoft19-1/,124,3,1,null,Korean,1,0,0,0,1,5,42m total,메타코드 M,374,12,4.8,null,null,null,null,0,0,0,4.6
75,Aprenda Apache Airflow do Zero com Python! Com certificado!,https://www.udemy.com/course/aprenda-apache-airflow-do-zero-com-python-direto-ao-ponto/,200,8,1,2.2023,Portuguese,1,1,69.9,1,6,12,1h 59m,Thiago Cardoso,206,2,4.9,null,null,null,null,1,0,0,4.8
