,course name,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
129,Convolutional Neural Networks in Python: CNN Computer Vision,"120,121","1,182",1,11.2022,English,1,1,69.9,1,22,59,7h 41m,Start-Tech Academy,"1,573,735",52,4.5,,,,,1,0,0,4.4
130,MLOps Fundamentals: CI/CD/CT Pipelines of ML with Azure Demo,"6,039","1,189",1,7.2022,English,1,1,159.9,1,11,35,2h 53m,J Garg - Real Time Learning,"36,862",6,4.4,,,,,1,0,0,4.3
131,U&P AI - Natural Language Processing (NLP) with Python,"13,879","1,145",1,12.202,English,1,1,69.9,1,6,72,5h 49m,Abdulhadi Darwish,"14,422",1,4,,,,,0,0,0,4
132,Machine Learning for Absolute Beginners - Level 1,"24,439","1,127",1,9.2022,English,1,1,349.9,1,5,25,2h 9m,Idan Gabrieli,"139,416",17,4.5,,,,,1,0,0,4.5
133,Python & Introduction to Data Science,"45,764","1,102",1,10.2018,English,1,1,329.9,1,4,68,9h 8m,AI 4 MY,"45,764",1,4.6,,,,,0,0,0,4.6
134,Statistics & Mathematics for Data Science & Data Analytics,"6,537","1,109",1,12.2022,English,1,1,349.9,1,9,91,11h 24m,Nikolai Schuler,"132,017",15,4.6,,,,,1,0,0,4.6
135,"Learn Data Science Deep Learning, Machine Learning NLP & R","6,270","1,092",1,8.2022,English,1,1,179.9,1,51,624,70h 32m,Cinnamon TechX,"13,689",2,4.4,,,,,0,0,0,4.6
136,Natural Language Processing: NLP With Transformers in Python,"19,502","1,094",1,8.2022,English,1,1,209.9,1,14,104,11h 30m,James Briggs,"20,858",2,4.4,,,,,1,0,0,4.5
137,Deep Reinforcement Learning 2.0,"9,470","1,086",3,1.2023,English,1,1,349.9,1,8,63,9h 38m,Hadelin de Ponteves,"1,651,425",42,4.5,Ligency I Team,"2,286,300",148,4.6,0,0,0,4.5
138,2022 Python Data Analysis & Visualization Masterclass,"11,236","1,101",1,12.2022,English,1,1,699.9,1,22,202,20h 29m,Colt Steele,"1,420,526",22,4.7,,,,,0,0,0,4.7
139,Machine Learning & Data Science A-Z: Hands-on Python 2022,"68,715","1,077",1,1.2022,English,1,1,349.9,1,9,75,14h 27m,Navid Shirzadi,"71,544",5,4.5,,,,,1,0,0,4.4
140,Python for Data Science and Machine Learning beginners,"16,043","1,069",1,4.2021,English,1,1,69.9,1,12,64,7h 40m,Jay Bhatt,"28,546",3,3.9,,,,,0,0,0,4
141,The Complete dbt (Data Build Tool) Bootcamp: Zero to Hero,"6,911","1,105",2,1.2023,English,1,1,179.9,1,18,81,5h 14m,Zoltan C. Toth,"6,911",1,4.5,Miklos (Mike) Petridisz,"6,911",1,4.5,1,0,0,4.5
142,Machine Learning and AI: Support Vector Machines in Python,"23,486","1,049",1,1.2023,English,1,1,105.9,1,12,73,8h 53m,Lazy Programmer Inc.,"517,587",32,4.6,,,,,0,0,0,4.9
143,[2022] Machine Learning and Deep Learning Bootcamp in Python,"11,248","1,040",1,9.2022,English,1,1,349.9,1,55,340,32h 37m,Holczer Balazs,"257,780",34,4.5,,,,,1,0,0,4.4
144,Regression Analysis / Data Analytics in Regression,"5,668","1,033",1,11.2017,English,1,1,349.9,1,6,17,2h 9m,Quantitative  Specialists,"24,456",9,4.5,,,,,1,0,0,4.4
145,Learn BERT - most powerful NLP algorithm by Google,"6,329","1,027",3,4.2022,English,1,1,349.9,1,5,37,5h 29m,Martin Jocqueviel,"55,757",6,4.5,Ligency I Team,"2,286,300",148,4.6,1,0,0,4.3
146,Deep Learning :Adv. Computer Vision (object detection+more!),"23,908","1,018",1,5.2021,English,1,1,69.9,1,10,34,7h 23m,Jay Bhatt,"28,546",3,3.9,,,,,0,0,0,4.3
147,Learn Machine learning & AI (Including Hands-on 3 Projects),"253,350","1,021",1,9.202,English,1,1,349.9,1,3,34,1h 57m,EdYoda Digital University,"1,042,101",15,4.3,,,,,0,0,0,4.2
148,Train YOLO for Object Detection with Custom Data,"5,261","1,022",1,6.2022,English,1,1,209.9,1,9,58,7h 6m,Valentyn Sichkar,"5,665",2,4.5,,,,,1,0,0,4.6
149,Data Engineering using AWS Data Analytics,"12,364","1,014",3,7.2022,English,1,1,699.9,1,29,434,26h 15m,Durga Viswanatha Raju Gadiraju,"268,541",20,4.4,Asasri Manthena,"214,648",19,4.4,0,0,0,4.5
150,"Introduction to AI, Machine Learning and Data Science","28,918",991,1,5.202,English,1,1,349.9,1,4,15,32m total,Pradeep D,"56,637",3,4.2,,,,,0,0,0,4.2
151,Want to be a Big Data Scientist?,"12,538",969,1,3.2018,English,1,1,69.9,1,2,13,1h 25m,"V2 Maestros, LLC","76,516",7,4.2,,,,,0,0,0,4.7
152,Probability for Statistics and Data Science,"12,282",977,1,1.202,English,1,3,349.9,1,5,46,3h 40m,365 Careers,"2,202,831",91,4.6,,,,,1,0,0,4.7
153,Master Apache Spark - Hands On!,"6,105",952,2,11.2021,English,1,1,349.9,1,6,32,6h 56m,Imtiaz Ahmad,"405,412",12,4.5,Job Ready Programmer Inc.,"66,811",4,4.5,0,0,0,4.6
154,Artificial Intelligence (ARS): Build the Most Powerful AI,"9,303",942,4,1.2023,English,1,6,349.9,1,4,42,4h 52m,Hadelin de Ponteves,"1,651,425",42,4.5,Kirill Eremenko,"2,282,141",59,4.5,0,0,0,4.3
155,Architecting Big Data Solutions,"5,055",936,1,1.2017,English,1,1,69.9,1,11,42,5h 24m,"V2 Maestros, LLC","76,516",7,4.2,,,,,0,0,0,3.8
156,Ultimate Python Bootcamp For Data Science & Machine Learning,"180,538",928,1,3.202,English,1,0,105.9,1,11,103,15h 45m,Pruthviraja L,"238,106",3,4.1,,,,,0,0,0,4
157,"From 0 to 1: Machine Learning, NLP & Python-Cut to the Chase","8,725",899,1,1.2018,English,1,1,349.9,1,16,94,19h 50m,Loony Corn,"154,863",67,4.2,,,,,0,0,0,4.1
158,Artificial Neural Networks (ANN) with Keras in Python and R,"159,637",893,1,11.2022,English,1,1,69.9,1,19,58,8h 30m,Start-Tech Academy,"1,573,735",52,4.5,,,,,1,0,0,4.3
159,Complete Time Series Analysis With Python,"5,250",880,1,7.2021,English,1,1,349.9,1,8,52,4h 14m,Minerva Singh,"90,904",49,4.4,,,,,0,0,0,4.4
160,Machine Learning Classification Bootcamp in Python,"8,574",870,4,1.2023,English,1,3,349.9,1,9,82,11h 43m,"Dr. Ryan Ahmed, Ph.D., MBA","319,769",46,4.5,Mitchell Bouchard,"513,669",70,4.5,0,0,0,4.4
161,Azure Synapse Analytics For Data Engineers -Hands On Project,"7,346",898,1,11.2022,English,1,1,123.9,1,19,132,13h 27m,Ramesh Retnasamy,"66,915",3,4.6,,,,,0,0,0,4.7
