,course name,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
126,【文部科学大臣表彰の工学博士が指導】Pythonで体系的に学ぶデータサイエンスとAIの初歩 Vol.3 線形代数・PCA,161,4,1,7.2022,Japanese,1,1,349.90,1,36,106,9h 38m,平山 雄三,721,12,4.4,null,null,null,null,0,0,0,4.4
127,Machine Learning para principiantes,179,4,1,1.2022,Spanish,1,1,69.90,1,7,7,33m total,Luis Guevara Matias,"19,523",427,3.4,null,null,null,null,0,0,0,4.5
128,Les notions fondamentales de Python pour la data science,575,4,1,9.2021,French,1,1,69.90,1,33,223,18h 17m,Sage Kataliko,575,1,4.2,null,null,null,null,1,0,0,4.2
129,Déployer un Portail de Données Ouvertes en Local avec CKAN,20,4,1,5.2022,French,1,1,69.90,1,5,13,2h 5m,Soka Wakata,"11,211",17,4.2,null,null,null,null,0,0,0,3.6
130,통계 분석 마스터 클래스 : 확률과 추론,14,4,1,10.2022,Korean,1,0,299.90,0,15,54,9h 17m,마소캠퍼스 머니매그넷,"2,064",50,4.7,null,null,null,null,0,0,0,5.0
131,R을 이용한 데이터 분석,31,4,1,7.2022,Korean,1,0,399.90,1,4,19,4h 51m,클룸 (CLOOM),852,17,4.8,null,null,null,null,0,0,0,5.0
132,Spark und PySpark - ein einfacher Crashkurs,32,4,1,11.2020,German,1,1,105.90,1,5,15,2h 59m,Cedric Mössner,"21,368",42,4.0,null,null,null,null,0,0,0,4.4
133,Data science en Python,884,4,1,2.2022,Spanish,1,1,69.90,1,5,5,1h 10m,Luis Guevara Matias,"19,523",427,3.4,null,null,null,null,0,0,0,1.7
134,Mempelajari Algoritma,29,4,1,7.2020,Indonesian,1,0,179.90,1,6,22,3h 12m,KODE by Hacktiv8,"8,765",74,4.6,null,null,null,null,1,0,0,4.5
135,Deep Learning & künstliche Intelligenz in der Medizin fastai,70,4,1,5.2021,German,1,1,123.90,1,8,41,3h 6m,Bernhard Mayr,477,10,4.0,null,null,null,null,1,0,0,4.2
136,Data Science et Machine Learning avec Python en 4h (2023),31,4,1,11.2022,French,1,1,429.90,1,7,40,4h 5m,"Favrett | Data Science, Machine Learning, Editing","6,125",6,4.5,null,null,null,null,0,0,0,4.3
137,A dan Z ye Python Programlama ve Yapay Zeka,34,4,1,12.2020,Turkish,1,0,105.90,0,1,34,7h 32m,Oğuz Özger,34,1,4.4,null,null,null,null,0,0,0,4.4
138,"Data Engineering con Spark para Big Data: SQL, Delta Lakes",51,6,1,10.2022,Spanish,1,1,69.90,1,6,31,2h 21m,Data Bootcamp,"9,868",28,4.2,null,null,null,null,0,0,0,4.1
139,【文部科学大臣表彰の工学博士が指導】Pythonで体系的に学ぶデータサイエンスとAIの初歩 Vol.2 確率・ベイズ統計,159,4,1,7.2022,Japanese,1,1,349.90,1,33,91,8h 12m,平山 雄三,721,12,4.4,null,null,null,null,0,0,0,4.2
140,Hands-On AWS S3 mit Boto3 (AWS SDK / Python) 01/23,9,4,1,9.2022,German,1,0,399.90,1,15,63,5h 25m,Stefan Lippl,461,3,4.4,null,null,null,null,0,0,0,4.7
141,Introdução à Ciência de Dados na Prática com Python,49,5,1,9.2022,Portuguese,1,1,299.90,1,11,67,31h 19m,Jefferson Silva Almeida,358,9,4.2,null,null,null,null,0,0,0,4.6
142,Inteligencia Artificial y Big Data,"1,305",4,1,10.2022,Spanish,1,1,69.90,1,5,5,51m total,Luis Guevara Matias,"19,523",427,3.4,null,null,null,null,0,0,0,4.0
