,name
100,https://www.udemy.com/course/best-r-advanced/
101,https://www.udemy.com/course/best-python-data-science/
102,https://www.udemy.com/course/machine-learning-was-ist-das-eigentlich/
103,https://www.udemy.com/course/pytorch-x/
104,https://www.udemy.com/course/kqfogepv/
105,https://www.udemy.com/course/ittensive-python-machine-learning-classification/
106,https://www.udemy.com/course/mlops-pf-and-ml/
107,https://www.udemy.com/course/yolov5-principle/
108,https://www.udemy.com/course/r-data-visualization-for-total-beginers/
109,https://www.udemy.com/course/mnist-app/
110,https://www.udemy.com/course/ittensive-python-regular-expressions/
111,https://www.udemy.com/course/comprendre-lintelligence-artificielle/
112,https://www.udemy.com/course/pemrograman-r-untuk-pemula/
113,https://www.udemy.com/course/streamlit-deployer-son-app-de-machine-learning-sur-le-web/
114,https://www.udemy.com/course/deeplearning-classification-dimages-avec-tensorflow/
115,https://www.udemy.com/course/deployment-of-machine-learning-models-l/
116,https://www.udemy.com/course/python-auto/
117,https://www.udemy.com/course/initiation-rapide-a-lintelligence-artificielle-en-python/
118,https://www.udemy.com/course/ai-2-dataliteracy/
119,https://www.udemy.com/course/ai-3-ethics/
120,https://www.udemy.com/course/numpy-pandas-matplotlib-rakesh-roshan/
121,https://www.udemy.com/course/machine-learning-concept-using-python-in-tamil/
122,https://www.udemy.com/course/bitcoin-crypto-trading-bot-part-1/
123,https://www.udemy.com/course/r-analyst/
124,https://www.udemy.com/course/dados-de-saude-publica-com-python/
125,https://www.udemy.com/course/nlu-natural-language-understanding-mit-pytorch-und-fastai/
126,https://www.udemy.com/course/7-python-ai/
127,https://www.udemy.com/course/google-cloud-big-data-and-machine-learnig-espanol-gabriel-alvarado/
128,https://www.udemy.com/course/best-python-mi-financial-analysis/
129,https://www.udemy.com/course/power-bi-ru/
130,https://www.udemy.com/course/deep-learning-tyd/
131,https://www.udemy.com/course/formacion-en-ciencia-de-datos-con-r/
132,https://www.udemy.com/course/inteligencia-artificial-com-python-nativo/
133,https://www.udemy.com/course/machine-learning-le-guide-complet/
134,https://www.udemy.com/course/microsoft-power-bi-for-beginners-in-urduhindi/
135,https://www.udemy.com/course/dataops-com-streamsets/
136,https://www.udemy.com/course/pythondatawrangling/
137,https://www.udemy.com/course/python-uygulamal-endustri-40-projeleri/
138,https://www.udemy.com/course/r-programming-desde-cero-analisis-de-datos/
139,https://www.udemy.com/course/maso-ds-r-onc2006/
140,https://www.udemy.com/course/ittensive-python-visualization/
141,https://www.udemy.com/course/python-pour-lintelligence-artificielle/
142,https://www.udemy.com/course/geostatistiker-raumliche-datenanalyse-mit-r/
143,https://www.udemy.com/course/curso-python-para-ciencia-de-datos/
144,https://www.udemy.com/course/derinlemesine-python-ai-natural-language-processing/
145,https://www.udemy.com/course/pythonai-vol3/
146,https://www.udemy.com/course/machine-learning-para-principiantes/
147,https://www.udemy.com/course/les-notions-fondamentales-de-python-pour-la-data-science/
148,https://www.udemy.com/course/deployer-un-portail-de-donnees-ouvertes-en-local-avec-ckan/
149,https://www.udemy.com/course/maso-ds-excel-onc49-1/
150,https://www.udemy.com/course/data-analysis-using-r/
151,https://www.udemy.com/course/spark-und-pyspark/
152,https://www.udemy.com/course/data-science-en-python/
153,https://www.udemy.com/course/mempelajari-algoritma/
154,https://www.udemy.com/course/deep-learning-kuenstliche-intelligenz-medizin-fastai/
155,https://www.udemy.com/course/formation-python-data-science/
156,https://www.udemy.com/course/a-dan-z-ye-python-programlama-ve-yapay-zeka/
157,https://www.udemy.com/course/data-engineering-con-spark-para-big-data-sql-delta-lakes/
158,https://www.udemy.com/course/pythonai-vol2/
159,https://www.udemy.com/course/hands-on-aws-s3-mit-boto3-python-092022/
160,https://www.udemy.com/course/introducao-a-ciencia-de-dados-aprenda-na-pratica-com-python/
161,https://www.udemy.com/course/inteligencia-artificial-y-big-data/
162,https://www.udemy.com/course/derinlemesine-python-ai-computer-vision/
163,https://www.udemy.com/course/python-ile-kripto-paralarda-algoritmik-trade/
